"Ten,","ngay,",LuongVao(m3/s),Luongvao(m3),QuaNhaMay(m3/s),Luuluong(m3),Dien_nang (KW)
"sonLa,","07/09/2022,",2121,7635600,688,2476800,58480
"sonLa,","06/09/2022,",2288,8236800,2000,7200000,170000
"sonLa,","05/09/2022,",2388,8596800,1229,4424400,104465
"sonLa,","04/09/2022,",1895,6822000,228,820800,19380
"sonLa,","03/09/2022,",1275,4590000,997,3589200,84745
"sonLa,","02/09/2022,",512,1843200,1068,3844800,90780
"sonLa,","01/09/2022,",594,2138400,1150,4140000,97750
"sonLa,","31/08/2022,",1829,6584400,1716,6177600,145860
"sonLa,","30/08/2022,",2496,8985600,2218,7984800,188530
"sonLa,","29/08/2022,",2350,8460000,2092,7531200,177820
"sonLa,","28/08/2022,",1389,5000400,0,0,0
"sonLa,","27/08/2022,",2558,9208800,726,2613600,61710
"sonLa,","26/08/2022,",2366,8517600,669,2408400,56865
"sonLa,","25/08/2022,",2323,8362800,934,3362400,79390
"sonLa,","24/08/2022,",2647,9529200,2647,9529200,224995
"sonLa,","23/08/2022,",1788,6436800,2045,7362000,173825
"sonLa,","22/08/2022,",2009,7232400,1453,5230800,123505
"sonLa,","21/08/2022,",1914,6890400,943,3394800,80155
"sonLa,","20/08/2022,",2009,7232400,943,3394800,80155
"sonLa,","19/08/2022,",2139,7700400,1306,4701600,111010
"sonLa,","18/08/2022,",2530,9108000,1306,4701600,111010
"sonLa,","17/08/2022,",2463,8866800,1985,7146000,168725
"sonLa,","16/08/2022,",2374,8546400,2374,8546400,201790
"sonLa,","15/08/2022,",2479,8924400,2123,7642800,180455
"sonLa,","14/08/2022,",2470,8892000,1436,5169600,122060
"sonLa,","13/08/2022,",2450,8820000,1416,5097600,120360
"sonLa,","12/08/2022,",2447,8809200,1058,3808800,89930
"sonLa,","11/08/2022,",2637,9493200,970,3492000,82450
"sonLa,","10/08/2022,",2547,9169200,2547,9169200,216495
"sonLa,","09/08/2022,",2791,10047600,1476,5313600,125460
"sonLa,","08/08/2022,",2155,7758000,867,3121200,73695
"sonLa,","07/08/2022,",1668,6004800,1181,4251600,100385
"sonLa,",06/08/20220,850,3060000,2132,7675200,181220
"sonLa,","05/08/2022,",870,3132000,2076,7473600,176460
"sonLa,",04/08/20202,931,3351600,2551,9183600,216835
"sonLa,","03/08/2022,",1137,4093200,2804,10094400,238340
"sonLa,","02/08/2022,",1721,6195600,2766,9957600,235110
"sonLa,","01/08/2022,",1371,4935600,2766,9957600,235110
"sonLa,","31/07/2022,",2435,8766000,1907,6865200,162095
"sonLa,","30/07/2022,",2280,8208000,2280,8208000,193800
"sonLa,","29/07/2022,",2425,8730000,2425,8730000,206125
"sonLa,","28/07/2022,",1944,6998400,669,2408400,56865
"sonLa,","27/07/2022,",1860,6696000,1760,6336000,149600
"sonLa,","26/07/2022,",2218,7984800,2388,8596800,202980
"sonLa,","25/07/2022,",1925,6930000,1369,4928400,116365
"sonLa,","24/07/2022,",2301,8283600,2301,8283600,195585
"sonLa,","23/07/2022,",1826,6573600,2783,10018800,236555
"sonLa,","22/07/2022,",1747,6289200,2580,9288000,219300
"sonLa,","21/07/2022,",336,1209600,1725,6210000,146625
"sonLa,","20/07/2022,",2095,7542000,1585,5706000,134725
"sonLa,","19/07/2022,",2404,8654400,1585,5706000,134725
"sonLa,","18/07/2022,",2529,9104400,1293,4654800,109905
"sonLa,","17/07/2022,",1925,6930000,3314,11930400,281690
"sonLa,","16/07/2022,",2175,7830000,3268,11764800,277780
"sonLa,","15/07/2022,",2121,7635600,3232,11635200,274720
"sonLa,","14/07/2022,",2644,9518400,3200,11520000,272000
"sonLa,","13/07/2022,",2620,9432000,3177,11437200,270045
"sonLa,","12/07/2022,",2550,9180000,3169,11408400,269365
"sonLa,","11/07/2022,",2607,9385200,3163,11386800,268855
"sonLa,","10/07/2022,",2591,9327600,3147,11329200,267495
"sonLa,","09/07/2022,",2606,9381600,3162,11383200,268770
"sonLa,","08/07/2022,",2862,10303200,3139,11300400,266815
"sonLa,","07/07/2022,",3147,11329200,3147,11329200,267495
"sonLa,","06/07/2022,",3402,12247200,3140,11304000,266900
"sonLa,","05/07/2022,",3138,11296800,3138,11296800,266730
"sonLa,","04/07/2022,",2241,8067600,2241,8067600,190485
"sonLa,","03/07/2022,",3155,11358000,3155,11358000,268175
"sonLa,","02/07/2022,",3358,12088800,3167,11401200,269195
"sonLa,","01/07/2022,",3160,11376000,3160,11376000,268600
"sonLa,","01/07/2022,",3723,13402800,3167,11401200,269195
"sonLa,","30/06/2022,",4056,14601600,3167,11401200,269195
"sonLa,","29/06/2022,",3181,11451600,3181,11451600,270385
